frame_num,frame,player_1_hits,player_1_total_b_speed,player_1_last_b_speed,player_1_total_speed,player_1_last_speed,player_2_hits,player_2_total_b_speed,player_2_last_b_speed,player_2_total_speed,player_2_last_speed,player_1_average_shot_speed,player_2_average_shot_speed,player_1_average_player_speed,player_2_average_player_speed
113,0.0,1.0,83.92723083496094,83.92723083496094,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,6.178312301635742,6.178312301635742,83.92723083496094,43.599830627441406,6.645725727081299,6.178312301635742
114,0.0,1.0,83.92723083496094,83.92723083496094,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,6.178312301635742,6.178312301635742,83.92723083496094,43.599830627441406,6.645725727081299,6.178312301635742
115,0.0,1.0,83.92723083496094,83.92723083496094,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,6.178312301635742,6.178312301635742,83.92723083496094,43.599830627441406,6.645725727081299,6.178312301635742
116,0.0,1.0,83.92723083496094,83.92723083496094,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,6.178312301635742,6.178312301635742,83.92723083496094,43.599830627441406,6.645725727081299,6.178312301635742
117,0.0,1.0,83.92723083496094,83.92723083496094,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,6.178312301635742,6.178312301635742,83.92723083496094,43.599830627441406,6.645725727081299,6.178312301635742
118,0.0,1.0,83.92723083496094,83.92723083496094,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,6.178312301635742,6.178312301635742,83.92723083496094,43.599830627441406,6.645725727081299,6.178312301635742
119,0.0,1.0,83.92723083496094,83.92723083496094,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,6.178312301635742,6.178312301635742,83.92723083496094,43.599830627441406,6.645725727081299,6.178312301635742
120,0.0,1.0,83.92723083496094,83.92723083496094,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,6.178312301635742,6.178312301635742,83.92723083496094,43.599830627441406,6.645725727081299,6.178312301635742
121,0.0,1.0,83.92723083496094,83.92723083496094,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,6.178312301635742,6.178312301635742,83.92723083496094,43.599830627441406,6.645725727081299,6.178312301635742
122,0.0,1.0,83.92723083496094,83.92723083496094,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,6.178312301635742,6.178312301635742,83.92723083496094,43.599830627441406,6.645725727081299,6.178312301635742
123,0.0,1.0,83.92723083496094,83.92723083496094,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,6.178312301635742,6.178312301635742,83.92723083496094,43.599830627441406,6.645725727081299,6.178312301635742
